anime_id,title,score,popularity,release_year
46569,Jigokuraku,8.08,234,2023
40815,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,8.08,1118,2020
24833,Ansatsu Kyoushitsu,8.07,34,2015
66,Azumanga Daiou The Animation,8.07,633,2002
23283,Zankyou no Terror,8.08,125,2014
42429,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,8.07,1440,2022
39198,Kanata no Astra,8.07,801,2019
3927,Kidou Senshi Gundam 00 Second Season,8.07,1641,2008
34076,Uchouten Kazoku 2,8.07,2933,2017
53887,Spy x Family Season 2,8.06,380,2023
4722,Skip Beat!,8.07,956,2008
32282,Shokugeki no Souma: Ni no Sara,8.06,136,2016
50796,Kimi wa Houkago Insomnia,8.07,1040,2023
135,Hikaru no Go,8.07,1744,2001
22145,Kuroshitsuji: Book of Circus,8.06,586,2014
56980,Karasu wa Aruji wo Erabanai,8.06,3216,2024
31251,Kidou Senshi Gundam: Tekketsu no Orphans,8.06,1022,2015
35062,Mahoutsukai no Yome,8.05,180,2017
55701,Kimetsu no Yaiba: Hashira Geiko-hen,8.05,320,2024
51096,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,8.06,292,2022
56063,NieR:Automata Ver1.1a Part 2,8.05,2251,2024
33486,Boku no Hero Academia 2nd Season,8.05,16,2017
27833,Durarara!!x2 Ketsu,8.05,663,2016
38668,Dorohedoro,8.04,397,2020
12189,Hyouka,8.05,100,2012
48895,Overlord IV,8.06,396,2022
2025,Darker than Black: Kuro no Keiyakusha,8.04,185,2007
8425,Gosick,8.04,413,2011
6547,Angel Beats!,8.05,33,2010
11771,Kuroko no Basket,8.04,117,2012
19815,No Game No Life,8.04,20,2014
237,Koukyoushihen Eureka Seven,8.04,560,2005
13759,Sakura-sou no Pet na Kanojo,8.04,113,2012
4224,Toradora!,8.04,26,2008
40907,World Trigger 2nd Season,8.04,1563,2021
24277,Yowamushi Pedal: Grande Road,8.04,1732,2014
25013,Akatsuki no Yona,8.03,213,2014
889,Black Lagoon,8.03,159,2006
1559,Shijou Saikyou no Deshi Kenichi,8.03,856,2006
20,Naruto,8.02,9,2002
49782,Shadows House 2nd Season,8.02,1864,2022
18679,Kill la Kill,8.03,58,2013
2034,Lovely★Complex,8.03,379,2007
34822,Tsuki ga Kirei,8.02,419,2017
38993,Karakai Jouzu no Takagi-san 2,8.02,749,2019
41402,Mairimashita! Iruma-kun 2nd Season,8.02,740,2021
2164,Dennou Coil,8.02,1666,2007
27989,Hibike! Euphonium,8.02,500,2015
53410,Yuru Camp△ Season 3,8.02,2349,2024
72,Full Metal Panic? Fumoffu,8.02,893,2003
153,Juuni Kokuki,8.01,1580,2002
44235,Pui Pui Molcar,8.01,5461,2021
6045,Kimi ni Todoke,8.01,171,2009
1974,Glass no Kamen (2005),8.02,3739,2005
39783,5-toubun no Hanayome ∬,8.01,281,2021
42923,SK∞,8.0,390,2021
59145,Ranma ½ (2024),8.0,1688,2024
1914,Saiunkoku Monogatari 2nd Season,8.0,3716,2007
14813,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,8.0,88,2013
16049,Toaru Kagaku no Railgun S,8.0,639,2013
6211,Tokyo Magnitude 8.0,8.0,881,2009
1482,D.Gray-man,8.0,313,2006
27663,Baby Steps 2nd Season,8.0,2393,2015
7054,Kaichou wa Maid-sama!,7.99,110,2010
14513,Magi: The Labyrinth of Magic,8.0,155,2012
37870,BanG Dream! 3rd Season,7.99,3823,2020
2167,Clannad,7.99,95,2007
36456,Boku no Hero Academia 3rd Season,7.98,25,2018
4789,ef: A Tale of Melodies.,7.98,1576,2008
16,Hachimitsu to Clover,7.98,960,2005
2004,Hanada Shounen-shi,7.98,5536,2002
42250,Bungou Stray Dogs Wan!,7.98,1919,2021
9656,Kimi ni Todoke 2nd Season,7.98,453,2011
16706,Kami nomi zo Shiru Sekai: Megami-hen,7.98,736,2013
40174,Zombieland Saga Revenge,7.98,1170,2021
50631,"Komi-san wa, Comyushou desu. 2nd Season",7.98,454,2022
846,School Rumble Ni Gakki,7.97,1570,2006
387,Haibane Renmei,7.99,839,2002
269,Bleach,7.98,35,2004
31173,Akagami no Shirayuki-hime 2nd Season,7.97,689,2016
39468,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,7.97,750,2019
23199,Durarara!!x2 Shou,7.97,489,2015
861,xxxHOLiC,7.97,785,2006
35788,Shokugeki no Souma: San no Sara,7.97,175,2017
32615,Youjo Senki,7.96,177,2017
27831,Durarara!!x2 Ten,7.96,623,2015
40716,Kakushigoto,7.96,763,2020
30015,ReLIFE,7.96,151,2016
77,Mahou Shoujo Lyrical Nanoha A's,7.95,2931,2005
9996,Hyouge Mono,7.95,4435,2011
7720,Ookiku Furikabutte: Natsu no Taikai-hen,7.95,3605,2010
25879,Working!!!,7.95,1051,2015
40397,Maoujou de Oyasumi,7.95,1137,2020
50346,Yofukashi no Uta,7.95,305,2022
51180,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,7.95,505,2024
39570,High Score Girl II,7.94,1735,2019
1530,Kanon (2006),7.94,944,2006
38080,Kono Oto Tomare!,7.94,782,2019
5678,Kobato.,7.94,1528,2009
38084,Fate/Grand Order: Zettai Majuu Sensen Babylonia,7.94,897,2019
20507,Noragami,7.94,27,2014
17549,Non Non Biyori,7.93,566,2013
16067,Nagi no Asu kara,7.93,384,2013
122,Full Moon wo Sagashite,7.93,2112,2002
36949,Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,7.93,293,2018
38337,Gochuumon wa Usagi desu ka? Bloom,7.92,2871,2020
11239,Hidamari Sketch x Honeycomb,7.93,4733,2012
10721,Mawaru Penguindrum,7.92,868,2011
10049,Nurarihyon no Mago: Sennen Makyou,7.92,1566,2011
35968,Wotaku ni Koi wa Muzukashii,7.92,164,2018
31174,Osomatsu-san,7.92,1490,2015
46422,Niehime to Kemono no Ou,7.92,2371,2023
18179,Yowamushi Pedal,7.92,1117,2013
658,Touhai Densetsu Akagi: Yami ni Maiorita Tensai,7.92,2160,2005
73,Full Metal Panic! The Second Raid,7.91,1006,2005
15,Eyeshield 21,7.91,1394,2005
55310,Atarashii Joushi wa Do Tennen,7.91,2903,2023
11739,Kimi to Boku. 2,7.91,2416,2012
33206,Kobayashi-san Chi no Maid Dragon,7.91,112,2017
41169,Love Live! Superstar!!,7.91,2730,2021
1695,Les Misérables: Shoujo Cosette,7.91,4293,2007
35790,Tate no Yuusha no Nariagari,7.91,67,2019
5682,Phantom: Requiem for the Phantom,7.91,755,2009
55742,Mahoutsukai no Yome Season 2 Part 2,7.91,2085,2023
17265,Log Horizon,7.9,141,2013
28,Yakitate!! Japan,7.91,2268,2004
37675,Overlord III,7.91,186,2018
427,Kaleido Star,7.9,2462,2003
27775,Plastic Memories,7.91,179,2015
48580,Vanitas no Karte,7.9,400,2021
60108,One Piece: Gyojin Tou-hen,7.9,4040,2024
29803,Overlord,7.9,71,2015
52976,Berserk: Ougon Jidai-hen - Memorial Edition,7.9,3425,2022
30279,Yuru Yuri San☆Hai!,7.9,1922,2015
790,Ergo Proxy,7.9,329,2006
32995,Yuri!!! on Ice,7.9,204,2016
35222,Gakuen Babysitters,7.9,710,2018
7062,Hidamari Sketch x ☆☆☆,7.9,4496,2010
57066,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka V: Houjou no Megami-hen,7.89,1333,2024
9289,Hanasaku Iroha,7.89,776,2011
28297,Ore Monogatari!!,7.89,314,2015
6774,Kuuchuu Buranko,7.89,2324,2009
53199,Kidou Senshi Gundam: Suisei no Majo Season 2,7.89,2234,2023
27947,Lupin III (2015),7.89,2744,2015
3228,Zoku Sayonara Zetsubou Sensei,7.89,1833,2008
24,School Rumble,7.88,788,2004
31098,Ushio to Tora (TV) 2nd Season,7.88,1826,2016
114,Sakigake!! Cromartie Koukou,7.88,1703,2003
37786,Yagate Kimi ni Naru,7.88,704,2018
12815,Shirokuma Cafe,7.89,2311,2012
14075,Zetsuen no Tempest,7.89,389,2012
31339,Drifters,7.88,401,2016
20057,Space☆Dandy,7.89,686,2014
12031,Kingdom,7.88,1080,2012
3572,Macross F,7.88,1689,2008
53287,Love Live! Superstar!! 3rd Season,7.88,5253,2024
13331,Jormungand: Perfect Order,7.88,1318,2012
14719,JoJo no Kimyou na Bouken (TV),7.87,60,2012
36028,Golden Kamuy,7.88,582,2018
322,Paradise Kiss,7.88,1070,2005
5680,K-On!,7.87,153,2009
249,InuYasha,7.87,249,2000
1594,Jigoku Shoujo Futakomori,7.87,1573,2006
36563,Megalo Box,7.87,455,2018
957,Saiunkoku Monogatari,7.87,2273,2006
2159,Ookiku Furikabutte,7.87,2241,2007
55153,Yuzuki-san Chi no Yonkyoudai.,7.87,2876,2023
934,Higurashi no Naku Koro ni,7.87,250,2006
2924,ef: A Tale of Memories.,7.86,1024,2007
7645,Heartcatch Precure!,7.86,4127,2010
35075,Hoozuki no Reitetsu 2nd Season,7.87,3455,2017
55855,Kuroshitsuji: Kishuku Gakkou-hen,7.86,2252,2024
25517,Magic Kaito 1412,7.86,1893,2014
38408,Boku no Hero Academia 4th Season,7.86,53,2019
10080,Kami nomi zo Shiru Sekai II,7.86,648,2011
58059,Tsue to Tsurugi no Wistoria,7.86,811,2024
2158,Terra e... (TV),7.85,2992,2007
6377,Zan Sayonara Zetsubou Sensei,7.86,2155,2009
37029,Hoozuki no Reitetsu 2nd Season: Sono Ni,7.85,4406,2018
51680,Cool Doji Danshi,7.85,2178,2022
3588,Soul Eater,7.85,64,2008
50739,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,7.85,642,2023
49828,Kidou Senshi Gundam: Suisei no Majo,7.84,1478,2022
42745,Machikado Mazoku: 2-choume,7.84,2763,2022
54790,Undead Girl Murder Farce,7.85,1498,2023
6586,Yume-iro Pâtissière,7.85,2491,2009
22,Tennis no Oujisama,7.84,1383,2001
49889,Tsuki ga Michibiku Isekai Douchuu 2nd Season,7.84,867,2024
54829,Urusei Yatsura (2022) 2nd Season,7.84,3283,2024
35507,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,7.84,103,2017
2605,Sayonara Zetsubou Sensei,7.84,739,2007
52505,Dark Gathering,7.84,1500,2023
37435,Carole & Tuesday,7.84,769,2019
36593,Hug tto! Precure,7.84,4414,2018
41389,Tonikaku Kawaii,7.84,263,2020
54968,Giji Harem,7.83,1302,2024
9513,Beelzebub,7.84,387,2011
31741,Magi: Sinbad no Bouken (TV),7.83,487,2016
48849,Sonny Boy,7.84,733,2021
3604,Hidamari Sketch x 365,7.83,3639,2008
31964,Boku no Hero Academia,7.83,7,2016
4087,Michiko to Hatchin,7.83,1250,2008
6582,Tentai Senshi Sunred 2nd Season,7.83,7464,2009
49784,Mairimashita! Iruma-kun 3rd Season,7.83,1151,2022
9941,Tiger & Bunny,7.83,1160,2011
52093,Trigun Stampede,7.83,1227,2023
849,Suzumiya Haruhi no Yuuutsu,7.82,195,2006
17909,Uchouten Kazoku,7.82,1430,2013
54918,Tokyo Revengers: Tenjiku-hen,7.82,1054,2023
42249,Tokyo Revengers,7.83,105,2021
32998,91 Days,7.82,286,2016
40956,Enen no Shouboutai: Ni no Shou,7.82,225,2020
28669,Go! Princess Precure,7.82,4267,2015
388,Capeta,7.82,3867,2005
39534,Jibaku Shounen Hanako-kun,7.82,352,2020
39575,Somali to Mori no Kamisama,7.81,877,2020
10521,Working'!!,7.81,943,2011
43439,Shadows House,7.81,985,2021
267,Gungrave,7.81,1264,2003
23289,Gekkan Shoujo Nozaki-kun,7.81,190,2014
